Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PetID,PhotoAmt,SentimentScore,SentimentMagnitude,HasName,DescWordCount,IsMixedBreed,AgeBin,IsFree,TotalMultimedia,SentimentImpact,AdoptionSpeed
2,24,292,0,1,2,7,0,2,2,1,1,1,1,1,0,3,0,5346481de,2,0.2,0.7,1,14,0,2,1,2.0,0.13999999999999999,3
2,12,303,0,2,1,2,3,1,2,1,1,1,1,1,300,12,0,4e6750363,4,0.3,2.2,1,56,0,1,0,4.0,0.66,4
1,1,307,0,1,1,2,7,2,1,2,2,2,1,1,0,12,0,3db150833,1,0.2,0.2,0,9,1,0,1,1.0,0.04000000000000001,3
1,8,205,0,1,2,5,0,1,2,1,1,2,1,1,0,12,0,7f8955f6a,4,-0.4,1.3,1,46,0,1,1,4.0,-0.52,3
2,3,265,0,1,3,7,0,1,2,2,2,2,1,1,0,12,0,df70eb456,3,0.4,1.7,1,62,0,0,1,3.0,0.68,1
2,3,266,0,3,2,5,0,1,1,2,3,2,1,4,0,12,0,bb78d1aa5,1,0.0,1.2,1,23,0,0,1,1.0,0.0,3
2,2,274,285,1,3,5,7,2,2,2,1,2,1,1,100,12,0,c2284e2e9,4,0.9,0.9,1,38,1,0,0,4.0,0.81,2
2,5,266,0,1,1,7,0,2,2,1,1,2,1,1,0,12,0,ff22356ef,4,0.1,3.6,1,107,0,1,1,4.0,0.36000000000000004,3
2,1,266,0,3,1,7,0,2,2,2,2,2,1,2,0,12,0,5112569f6,4,0.6,1.2,0,27,0,0,1,4.0,0.72,2
2,3,254,265,2,1,2,7,1,2,2,1,2,1,1,0,3,0,d072a58e5,3,0.3,7.0,1,226,1,0,1,3.0,2.1,2
1,0,307,307,3,1,2,4,2,2,2,2,2,1,7,0,3,0,59d95faef,1,-0.4,0.4,0,16,1,0,1,1.0,-0.16000000000000003,4
2,24,265,0,2,1,3,7,2,2,1,1,1,1,1,250,9,0,4b29bbd04,2,0.2,1.0,1,55,0,2,0,2.0,0.2,4
1,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,12,0,4e3640544,1,0.9,0.9,1,16,1,1,1,1.0,0.81,3
2,3,266,0,3,5,0,0,1,1,2,2,2,1,3,0,12,0,8f34b67ca,2,0.0,0.0,0,18,0,0,1,2.0,0.0,4
1,1,307,0,2,2,0,0,2,2,1,2,2,1,1,0,12,0,1c6e35149,2,0.9,0.9,1,16,1,0,1,2.0,0.81,2
1,2,307,0,1,2,5,0,2,1,1,1,1,1,1,0,12,0,b70ec3788,1,0.1,0.5,1,16,1,0,1,1.0,0.05,2
1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,8,0,db05d2fb1,1,0.2,1.2,0,45,1,0,1,1.0,0.24,1
1,3,307,307,2,1,0,0,2,2,1,1,2,1,1,0,12,0,7a12a494f,9,0.2,1.2,1,23,1,0,1,9.0,0.24,4
1,36,307,0,1,1,0,0,3,1,1,1,1,1,2,0,0,0,be0635ef2,3,0.7,4.3,1,96,1,2,1,3.0,3.01,3
2,9,267,0,1,2,6,7,2,2,1,2,1,1,2,0,3,0,25fb57849,5,0.8,3.2,1,29,0,1,1,5.0,2.5600000000000005,2
1,3,307,0,2,2,7,0,2,2,1,1,2,1,1,0,12,0,7d930d08c,7,0.0,1.4,1,74,1,0,1,7.0,0.0,2
1,5,307,0,1,4,5,0,2,1,1,1,1,1,1,0,3,0,63a3f229c,10,0.9,1.8,1,60,1,1,1,10.0,1.62,2
2,1,266,0,2,1,7,0,1,1,2,2,2,1,1,0,3,0,f559980ed,2,0.1,1.4,1,25,0,0,1,2.0,0.13999999999999999,2
1,3,307,0,1,1,2,0,1,1,3,3,3,1,1,0,3,0,f60ee7233,1,0.2,2.5,1,63,1,0,1,1.0,0.5,4
1,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,12,0,890dc359d,4,0.1,0.1,1,2,1,0,1,4.0,0.010000000000000002,2
2,2,266,0,3,7,0,0,1,1,2,2,2,1,3,0,9,0,c98ae8e1e,5,0.0,0.0,1,24,0,0,1,5.0,0.0,4
1,2,307,307,3,5,7,0,2,1,2,2,2,1,6,0,12,0,ba04f3e21,5,0.1,2.6,1,87,1,0,1,5.0,0.26,3
2,3,264,0,1,1,7,0,2,3,2,1,2,1,1,0,12,0,c0a9578bb,5,0.5,3.2,0,56,0,0,1,5.0,1.6,2
2,3,266,0,1,1,6,0,2,1,2,1,2,1,1,0,0,0,620ebd7ab,10,0.2,3.0,1,62,0,0,1,10.0,0.6000000000000001,2
1,24,182,0,1,5,0,0,2,1,2,1,1,1,1,100,12,0,6e3631a29,2,0.3,2.1,1,8,0,2,0,2.0,0.63,1
1,3,307,0,3,1,2,3,2,1,2,2,2,1,4,0,12,0,0d873789a,1,0.3,4.8,1,123,1,0,1,1.0,1.44,3
1,3,195,0,1,6,7,0,1,2,1,1,2,1,1,0,0,0,3b0b2a86a,5,0.5,1.5,1,32,0,0,1,5.0,0.75,1
2,3,266,0,2,1,6,7,2,1,1,1,3,1,1,0,6,0,3c1370c6a,7,0.5,2.2,1,53,0,0,1,7.0,1.1,1
1,3,307,0,1,5,0,0,2,1,3,1,2,1,1,0,3,0,b386d20ba,9,0.3,1.3,1,38,1,0,1,9.0,0.39,3
1,2,307,0,3,2,4,7,2,2,2,2,3,1,4,0,3,0,fb9833d4b,5,0.5,2.1,1,65,1,0,1,5.0,1.05,4
2,4,266,0,1,4,7,0,2,1,1,1,1,1,1,0,3,0,7a72ba3d7,1,0.0,0.6,1,30,0,1,1,1.0,0.0,4
1,2,307,0,2,2,7,0,2,1,1,1,2,1,1,0,12,0,924373704,8,0.9,0.9,1,57,1,0,1,8.0,0.81,3
1,2,307,0,1,2,0,0,2,1,1,1,2,1,1,0,3,0,27cede3cf,1,0.5,0.5,1,2,1,0,1,1.0,0.25,2
1,1,307,0,3,2,5,7,2,2,2,2,2,1,8,0,12,0,6d1596957,1,-0.1,0.6,1,40,1,0,1,1.0,-0.06,4
2,16,265,0,2,6,0,0,3,2,1,1,1,1,1,0,3,1,308a16b6e,2,0.3,1.6,1,64,0,2,1,3.0,0.48,4
2,2,266,0,2,3,7,0,1,1,2,2,2,1,1,80,12,0,5d5942493,3,0.1,0.1,1,25,0,0,0,3.0,0.010000000000000002,2
2,3,266,0,3,1,6,7,3,1,3,3,3,1,3,0,12,0,98f0a2ac7,3,0.1,0.6,0,29,0,0,1,3.0,0.06,1
2,4,266,0,1,1,0,0,1,1,2,1,2,1,1,0,9,0,d946f7a55,4,0.0,0.4,1,28,0,1,1,4.0,0.0,4
1,2,307,0,2,2,5,7,2,2,1,1,2,1,1,100,12,0,1940b59e7,1,0.1,0.1,1,6,1,0,0,1.0,0.010000000000000002,2
1,1,307,0,1,1,2,7,1,1,2,2,3,1,1,0,3,0,c7b3c09d4,5,0.1,2.0,1,73,1,0,1,5.0,0.2,2
1,36,109,0,2,3,0,0,3,2,1,1,2,1,1,0,12,0,adc3a477a,1,0.3,3.8,1,120,0,2,1,1.0,1.14,2
2,6,266,0,1,6,7,0,2,1,1,1,1,1,1,50,3,0,165e11d30,0,0.6,0.6,1,12,0,1,0,0.0,0.36,3
2,12,299,0,2,6,0,0,2,1,2,1,2,1,1,80,12,0,a72e084a4,1,0.6,0.6,0,7,0,1,0,1.0,0.36,3
2,5,266,0,2,1,4,6,2,1,2,1,2,1,1,0,12,0,ffe2090b3,6,0.7,4.3,1,63,0,1,1,6.0,3.01,3
2,4,266,0,1,4,7,0,2,1,1,1,1,1,1,100,3,0,fe1edf930,4,0.0,2.2,1,82,0,1,0,4.0,0.0,4
2,12,266,0,2,6,7,0,1,1,1,1,1,1,1,100,12,0,181f3796e,2,0.6,2.0,1,10,0,1,0,2.0,1.2,2
1,2,307,0,2,1,2,7,2,2,1,1,2,1,1,0,12,0,fd48a560c,3,0.0,0.3,1,13,1,0,1,3.0,0.0,3
1,2,307,0,2,1,2,7,2,2,1,1,2,1,1,0,12,0,d51b2e785,5,0.5,3.0,1,49,1,0,1,5.0,1.5,2
1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,50,12,0,e7fae9937,2,0.0,0.1,1,27,1,0,0,2.0,0.0,3
2,6,299,0,1,2,3,5,2,1,2,1,2,1,1,0,3,0,378059791,5,-0.4,1.8,1,61,0,1,1,5.0,-0.7200000000000001,2
1,2,26,307,1,1,2,0,3,1,1,1,2,1,1,0,12,0,2e85b81d7,4,0.4,1.2,1,20,1,0,1,4.0,0.48,3
1,1,307,0,2,1,7,0,3,1,2,2,2,1,1,0,3,0,685010499,1,0.1,0.4,1,46,1,0,1,1.0,0.04000000000000001,3
2,2,266,264,2,2,5,7,2,2,2,2,2,1,1,20,12,0,1b4224c51,4,0.3,4.2,1,111,1,0,0,4.0,1.26,1
2,2,265,0,2,2,0,0,3,2,2,1,3,1,1,0,12,0,2b2ec33ac,2,0.0,0.0,1,47,0,0,1,2.0,0.0,0
1,10,65,65,2,5,0,0,3,2,1,1,1,1,1,5,3,0,debf8e7e9,0,0.7,3.1,1,40,0,1,0,0.0,2.17,1
2,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,12,0,61fa73996,2,0.0,0.1,0,7,1,2,1,2.0,0.0,4
2,3,265,0,1,1,7,0,1,2,2,2,2,1,1,0,12,0,442ab63f2,4,0.3,4.7,1,145,0,0,1,4.0,1.41,1
2,4,265,0,2,3,6,7,3,2,2,1,1,1,1,0,3,0,02e072cbd,2,0.0,0.0,1,12,0,1,1,2.0,0.0,3
1,5,200,0,2,2,0,0,2,1,2,1,2,1,1,0,12,0,fe250bce9,5,0.0,0.7,1,29,0,1,1,5.0,0.0,1
2,4,266,0,1,4,0,0,2,1,1,1,2,1,1,0,12,0,8e453a294,11,0.6,3.8,1,71,0,1,1,11.0,2.28,1
2,3,266,0,1,5,0,0,2,1,1,1,1,1,1,50,3,0,6a88c7fa4,12,0.2,6.2,1,213,0,0,0,12.0,1.2400000000000002,3
1,3,307,0,1,3,0,0,2,2,1,1,2,1,1,0,12,0,ab519bf92,2,0.5,3.3,1,35,1,0,1,2.0,1.65,4
1,2,307,0,2,2,7,0,2,1,2,2,2,1,1,0,12,0,eada14618,1,0.0,0.2,1,18,1,0,1,1.0,0.0,2
1,36,213,39,1,1,5,7,2,3,1,1,1,1,1,0,12,0,062e2772c,2,0.2,3.1,1,42,1,2,1,2.0,0.6200000000000001,3
2,2,265,265,3,1,6,7,1,2,2,2,2,1,3,0,3,0,f6959f1ca,6,0.0,0.1,1,7,0,0,1,6.0,0.0,1
1,2,307,0,2,2,0,0,2,1,2,2,2,1,2,0,3,0,6ce342cfe,9,0.4,0.9,1,32,1,0,1,9.0,0.36000000000000004,1
1,36,200,192,3,2,7,0,2,1,3,3,3,1,2,200,3,0,47ec9e919,5,0.2,4.1,0,130,1,2,0,5.0,0.82,4
2,1,266,0,1,6,7,0,1,1,2,2,2,1,2,0,12,0,c7c489413,9,0.2,3.2,1,83,0,0,1,9.0,0.6400000000000001,1
2,2,243,0,2,6,0,0,1,1,2,2,3,1,1,0,12,0,1d867b8ee,0,0.9,1.8,1,15,0,0,1,0.0,1.62,4
1,3,307,0,2,1,2,0,3,1,3,3,2,1,1,0,12,0,1f2c63312,2,0.3,1.2,1,21,1,0,1,2.0,0.36,3
2,4,266,0,2,2,0,0,1,1,1,1,2,1,1,100,7,0,ce2319154,1,-0.1,0.5,1,38,0,1,0,1.0,-0.05,4
2,3,266,0,2,2,7,0,1,1,2,1,2,1,1,0,12,0,96a5fd573,2,0.4,0.9,1,12,0,0,1,2.0,0.36000000000000004,4
1,1,307,0,2,1,2,0,2,1,2,2,2,1,1,0,12,0,4eb9c5991,9,0.8,1.7,1,31,1,0,1,9.0,1.36,3
2,6,254,0,3,1,2,6,1,2,2,2,2,1,5,0,8,0,4a6cad15c,1,0.4,1.0,1,32,0,1,1,1.0,0.4,4
2,21,299,0,1,4,7,0,2,1,1,1,1,1,1,0,12,0,451d18ba3,3,0.4,1.2,1,39,0,2,1,3.0,0.48,4
2,2,292,0,3,2,5,0,1,2,2,2,2,1,4,0,0,0,edcaed3a4,4,0.2,0.2,1,3,0,0,1,4.0,0.04000000000000001,3
1,10,20,0,2,1,2,7,2,1,1,1,3,1,1,0,3,0,615213076,4,0.5,0.5,1,48,0,1,1,4.0,0.25,0
2,9,306,0,1,6,7,0,2,2,1,1,1,1,1,0,3,0,8f117f08e,3,0.5,3.4,1,100,0,1,1,3.0,1.7,0
1,2,307,0,3,1,2,5,2,2,2,1,2,1,2,0,12,0,b3185d954,5,0.1,1.7,1,59,1,0,1,5.0,0.17,1
2,2,266,266,1,4,7,0,2,1,2,2,2,1,1,0,12,0,ee640a6ba,9,0.9,0.9,0,10,0,0,1,9.0,0.81,1
1,3,103,307,2,1,2,0,2,2,2,1,2,1,1,200,12,0,9ebe2f16c,2,0.0,1.0,1,74,1,0,0,2.0,0.0,2
1,1,103,109,3,1,3,0,2,2,2,2,2,1,4,50,12,0,26edfaa28,4,0.3,2.0,1,45,1,0,0,4.0,0.6,2
1,2,307,0,2,1,0,0,1,2,1,1,2,1,1,0,8,0,f4948a23d,4,0.5,1.6,1,27,1,0,1,4.0,0.8,2
1,72,307,0,3,1,2,0,2,1,3,3,1,1,2,0,12,0,2c4089e4f,4,0.3,5.8,1,128,1,3,1,4.0,1.74,3
1,2,307,0,1,1,2,7,2,2,2,2,2,1,2,0,9,0,a996f1370,3,0.8,0.8,1,7,1,0,1,3.0,0.6400000000000001,2
1,2,307,0,3,1,2,0,2,1,2,2,2,1,8,0,12,0,97916de84,5,-0.1,0.8,0,52,1,0,1,5.0,-0.08000000000000002,4
2,18,265,292,1,7,0,0,2,2,1,1,1,1,1,0,12,1,a2fecc9a4,10,0.1,2.3,1,63,1,2,1,11.0,0.22999999999999998,1
2,1,266,0,1,1,6,0,1,1,2,2,2,1,1,0,3,0,0ca524fbf,4,0.3,4.4,1,174,0,0,1,4.0,1.32,1
1,4,307,307,2,1,2,7,2,1,2,2,2,1,1,0,3,0,a120cae65,1,0.1,0.3,1,12,1,1,1,1.0,0.03,2
1,60,24,0,1,2,0,0,2,2,3,1,2,1,1,0,12,0,94d930dae,1,0.5,1.0,1,24,0,2,1,1.0,0.5,2
1,48,69,69,2,3,5,0,1,2,1,1,1,1,1,200,12,0,f83695eb0,8,0.0,1.8,1,65,0,2,0,8.0,0.0,4
2,12,266,0,3,1,2,6,2,2,2,2,2,1,3,0,3,0,475098962,1,0.1,3.0,1,119,0,1,1,1.0,0.30000000000000004,0
2,5,266,265,3,2,6,7,1,2,1,1,2,1,3,120,12,0,1b1fdfd71,9,0.3,6.3,1,179,1,1,0,9.0,1.89,4
2,4,266,0,2,1,2,6,3,1,2,2,2,1,1,0,3,0,4f0eacbdd,8,0.0,0.0,1,3,0,1,1,8.0,0.0,1
2,3,285,264,1,3,7,0,3,2,3,3,3,1,1,0,1,0,daed3d063,2,0.8,0.8,1,4,1,0,1,2.0,0.6400000000000001,1
2,3,265,0,3,1,6,0,2,2,2,2,2,1,2,0,3,0,d452218f1,5,0.4,0.4,0,27,0,0,1,5.0,0.16000000000000003,2
1,2,307,0,1,2,0,0,2,2,1,1,2,1,1,0,12,0,1dc90fbb8,2,0.2,2.6,1,64,1,0,1,2.0,0.52,1
1,5,307,307,3,1,2,7,2,1,2,2,3,1,2,0,12,0,6f72c46b5,2,0.4,1.3,0,35,1,1,1,2.0,0.52,2
1,4,307,0,2,2,0,0,2,1,1,1,2,1,1,0,12,0,1c28dc555,7,0.8,0.8,1,16,1,1,1,7.0,0.6400000000000001,3
2,0,266,266,3,1,2,7,2,1,2,2,2,1,5,0,3,0,0f80c9dc5,1,0.1,0.8,1,19,0,0,1,1.0,0.08000000000000002,2
2,1,265,0,1,1,7,0,1,2,2,1,2,1,1,0,7,0,89a41673f,10,0.2,2.2,1,57,0,0,1,10.0,0.44000000000000006,1
1,6,307,0,1,2,5,7,1,1,1,1,2,1,1,0,12,0,66f6cd1cb,3,0.2,0.5,1,15,1,1,1,3.0,0.1,4
1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,3,0,3c9dc7370,4,0.3,2.3,1,13,1,0,1,4.0,0.69,3
1,1,141,307,2,2,0,0,2,1,3,3,2,1,1,0,12,0,70aeba909,1,0.5,1.1,1,19,1,0,1,1.0,0.55,3
1,3,307,218,1,1,0,0,2,1,1,1,2,1,1,0,12,0,e5bb33a17,8,0.3,3.0,1,61,1,0,1,8.0,0.8999999999999999,3
2,12,266,0,1,4,7,0,3,2,2,2,2,1,1,0,3,0,8c006c8ab,3,0.0,0.0,1,64,0,1,1,3.0,0.0,4
2,3,266,0,2,1,3,6,1,1,2,2,2,1,1,0,12,0,1a6becd27,5,0.3,1.1,1,12,0,0,1,5.0,0.33,1
2,14,299,0,1,3,0,0,2,1,3,3,1,1,1,0,12,0,2185647c2,1,0.3,4.6,1,99,0,2,1,1.0,1.38,4
2,0,266,0,1,3,4,7,1,1,2,2,2,1,1,20,12,1,92c42a055,5,0.0,1.8,1,146,0,0,0,6.0,0.0,1
1,1,307,307,3,2,4,0,3,1,2,2,2,1,3,0,3,0,fbb3db415,5,0.1,0.1,1,8,1,0,1,5.0,0.010000000000000002,0
1,12,307,0,2,2,0,0,1,1,1,1,1,1,1,0,12,0,6e09bfe1f,3,0.6,1.8,1,12,1,1,1,3.0,1.08,3
2,1,266,299,2,1,2,6,1,1,2,1,2,2,1,0,3,0,80b25cc78,16,0.3,8.5,1,344,1,0,1,16.0,2.55,1
1,12,307,0,2,4,5,0,2,2,1,1,1,1,1,0,12,0,c30f7cde0,1,0.7,2.3,1,74,1,1,1,1.0,1.6099999999999999,2
1,12,307,0,2,2,4,0,1,1,1,1,1,1,1,0,3,0,8db729086,8,0.6,1.2,1,30,1,1,1,8.0,0.72,4
2,2,265,0,1,7,0,0,2,2,2,2,2,1,1,0,3,1,05492e461,5,0.6,3.8,1,76,0,0,1,6.0,2.28,2
1,5,307,0,1,1,2,0,2,1,1,1,1,1,1,0,12,0,50ef65df7,1,0.3,0.9,1,31,1,1,1,1.0,0.27,2
2,38,265,0,2,5,7,0,2,2,2,2,2,1,1,0,12,0,f734bc3b5,2,0.3,3.8,1,93,0,2,1,2.0,1.14,2
1,2,307,0,1,1,0,0,2,1,2,1,2,1,1,200,12,0,126cfd595,4,0.2,1.4,1,73,1,0,0,4.0,0.27999999999999997,2
1,5,307,0,1,1,2,3,2,1,1,1,2,1,1,0,12,0,60b188249,4,0.6,3.8,1,37,1,1,1,4.0,2.28,1
1,24,307,0,2,1,2,0,2,1,1,1,1,1,1,0,12,0,a6a0b1762,5,0.4,3.4,1,73,1,2,1,5.0,1.36,2
2,4,266,0,2,1,7,0,1,2,2,2,2,1,1,0,3,0,d2be70a4c,5,0.3,0.3,1,3,0,1,1,5.0,0.09,2
2,12,266,0,1,2,7,0,2,2,2,2,2,1,1,0,3,0,44229bb72,0,-0.1,0.3,1,8,0,1,1,0.0,-0.03,4
2,3,266,0,2,2,3,0,1,1,1,1,2,1,3,0,12,0,49e7b59e9,3,0.2,2.9,1,118,0,0,1,3.0,0.58,4
2,3,266,0,2,1,0,0,2,1,2,2,2,1,1,0,12,0,8a9465eee,11,0.4,1.6,1,47,0,0,1,11.0,0.6400000000000001,1
1,24,307,0,2,1,2,5,2,1,1,1,1,1,1,50,9,0,e0f46aa3e,4,0.1,1.4,1,45,1,2,0,4.0,0.13999999999999999,2
1,4,307,119,2,1,2,0,2,2,1,1,2,1,1,0,12,0,fef340804,4,0.0,0.0,1,3,1,1,1,4.0,0.0,2
2,3,265,0,1,4,0,0,1,2,2,2,2,1,1,0,3,0,2608428d8,4,0.0,0.0,1,28,0,0,1,4.0,0.0,1
1,24,307,0,1,1,2,0,2,1,1,1,1,1,1,0,12,0,2b1582f99,4,0.5,3.0,1,70,1,2,1,4.0,1.5,4
2,4,266,0,1,4,5,0,1,1,2,1,2,1,2,0,12,0,28e86de6d,5,0.1,2.3,1,84,0,1,1,5.0,0.22999999999999998,1
1,12,307,141,2,7,0,0,2,1,3,3,1,1,1,0,12,0,245bfe92f,2,0.1,3.6,1,88,1,1,1,2.0,0.36000000000000004,3
2,12,265,0,2,1,4,0,2,2,1,1,1,1,1,0,12,0,ef73ab8c6,1,0.9,0.9,1,17,0,1,1,1.0,0.81,4
1,1,307,0,1,2,7,0,2,1,2,2,2,1,3,0,12,0,e809f1cb5,17,0.2,2.9,1,118,1,0,1,17.0,0.58,1
1,12,189,307,1,1,2,0,3,1,3,3,1,1,1,0,12,0,c90570913,5,0.4,3.1,1,50,1,1,1,5.0,1.2400000000000002,3
1,2,307,0,2,5,7,0,2,1,2,2,2,1,1,20,9,0,9b56301b6,1,0.5,1.7,1,24,1,0,0,1.0,0.85,3
2,2,292,266,1,2,7,0,1,1,2,1,2,1,1,100,12,0,cc42556cb,5,0.0,0.0,1,91,1,0,0,5.0,0.0,1
1,36,307,0,1,2,0,0,2,1,1,1,1,1,2,0,12,0,e8ee48e12,3,0.4,5.4,1,139,1,2,1,3.0,2.16,4
1,4,307,0,3,3,0,0,2,1,1,1,2,1,3,0,12,0,481cbcedb,2,0.2,4.6,1,111,1,1,1,2.0,0.9199999999999999,3
1,3,307,307,2,2,7,0,2,2,1,1,2,1,1,0,12,0,a86ec27e9,1,0.0,0.0,1,2,1,0,1,1.0,0.0,3
2,2,264,0,1,1,7,0,1,3,2,2,2,1,1,250,12,0,06cc44fad,3,0.4,1.3,1,29,0,0,0,3.0,0.52,3
1,72,26,0,2,2,0,0,2,2,1,1,2,1,1,0,12,0,9862e5dfe,4,0.1,3.4,1,156,0,3,1,4.0,0.34,4
1,3,307,141,1,2,5,7,2,2,1,1,1,1,1,0,8,0,5cba5c76a,4,0.3,4.4,1,116,1,0,1,4.0,1.32,3
1,21,103,119,1,1,7,0,3,2,1,1,1,1,1,0,9,0,4d82fddba,1,0.7,0.7,1,6,1,2,1,1.0,0.48999999999999994,1
2,4,265,0,1,7,0,0,2,2,1,1,1,1,1,0,12,0,5ed5663ae,5,0.3,10.0,1,327,0,1,1,5.0,3.0,2
2,12,266,0,2,2,0,0,2,1,2,2,2,1,1,0,5,0,db3c2be5c,1,0.9,0.9,0,7,0,1,1,1.0,0.81,4
2,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,3,0,9d03d5988,4,0.5,0.5,0,46,0,0,1,4.0,0.25,1
1,1,307,0,2,5,0,0,2,2,3,3,3,1,2,0,5,0,5c66641a1,1,0.2,0.4,0,15,1,0,1,1.0,0.08000000000000002,4
1,10,307,0,1,2,0,0,3,2,1,1,1,1,1,0,12,1,b88fdc7ba,4,0.3,3.3,1,36,1,1,1,5.0,0.9899999999999999,2
1,36,179,0,2,1,6,0,1,2,3,1,2,1,1,0,12,0,192303603,2,0.2,1.1,1,46,0,2,1,2.0,0.22000000000000003,0
2,3,266,0,1,2,4,6,2,1,2,1,2,1,1,0,12,0,e7fbd95a9,5,0.8,0.8,1,11,0,0,1,5.0,0.6400000000000001,3
